# sweep_config: nvars=100 ninstances=50 step=10 max_constraints=500 seed_base=19 density=0.005
m,avg_domain_before,avg_domain_after,avg_log_domain_before,avg_log_domain_after,avg_presolve_runtime_sec,solved_fraction,n_instances,n_errors
10,10100.000000,9942.880000,461.512052,459.449489,0.106471,0.000,50,0
20,10100.000000,9807.460000,461.512052,457.779267,0.001905,0.000,50,0
30,10100.000000,9697.660000,461.512052,456.378409,0.002620,0.000,50,0
40,10100.000000,9548.980000,461.512052,454.649156,0.003412,0.000,50,0
50,10100.000000,9423.420000,461.512052,453.047467,0.003984,0.000,50,0
60,10100.000000,9335.740000,461.512052,451.884281,0.004850,0.000,50,0
70,10100.000000,9196.580000,461.512052,450.014628,0.005664,0.000,50,0
80,10100.000000,9056.240000,461.512052,448.193100,0.006825,0.000,50,0
90,10100.000000,9006.980000,461.512052,447.596747,0.007978,0.000,50,0
100,10100.000000,8875.780000,461.512052,445.933262,0.009272,0.000,50,0
110,10100.000000,8781.260000,461.512052,444.606092,0.010131,0.000,50,0
120,10100.000000,8683.300000,461.512052,443.398335,0.010226,0.000,50,0
130,10100.000000,8554.140000,461.512052,441.861404,0.011502,0.000,50,0
140,10100.000000,8479.300000,461.512052,440.918055,0.012247,0.000,50,0
150,10100.000000,8367.060000,461.512052,439.239740,0.014293,0.000,50,0
160,10100.000000,8271.420000,461.512052,437.895730,0.014821,0.000,50,0
170,10100.000000,8209.200000,461.512052,437.090235,0.015646,0.000,50,0
180,10100.000000,8101.980000,461.512052,435.728194,0.016807,0.000,50,0
190,10100.000000,7892.340000,461.512052,430.053226,0.019854,0.000,50,0
200,10100.000000,7920.200000,461.512052,433.180800,0.020581,0.000,50,0
210,10100.000000,7807.880000,461.512052,432.081357,0.022357,0.000,50,0
220,10100.000000,7742.820000,461.512052,430.918195,0.025315,0.000,50,0
230,10100.000000,7702.300000,461.512052,430.387404,0.024840,0.000,50,0
240,10100.000000,7105.360000,461.512052,413.140631,0.031799,0.000,50,0
250,10100.000000,6801.660000,461.512052,400.116206,0.035678,0.000,50,0
260,10100.000000,6576.260000,461.512052,392.381880,0.039151,0.000,50,0
270,10100.000000,5556.100000,461.512052,351.728158,0.048585,0.000,50,0
280,10100.000000,4995.020000,461.512052,328.531123,0.053792,0.000,50,0
290,10100.000000,4072.940000,461.512052,293.281272,0.063967,0.000,50,0
300,10100.000000,3391.560000,461.512052,264.275645,0.075137,0.000,50,0
310,10100.000000,2433.600000,461.512052,224.264966,0.088683,0.000,50,0
320,10100.000000,2183.680000,461.512052,213.002052,0.090828,0.000,50,0
330,10100.000000,1346.180000,461.512052,177.348376,0.104290,0.000,50,0
340,10100.000000,1483.260000,461.512052,184.442819,0.105311,0.000,50,0
350,10100.000000,677.400000,461.512052,150.311385,0.121605,0.000,50,0
360,10100.000000,528.280000,461.512052,144.334737,0.124859,0.000,50,0
370,10100.000000,523.060000,461.512052,140.476467,0.132376,0.000,50,0
380,10100.000000,395.900000,461.512052,137.723196,0.136025,0.000,50,0
390,10100.000000,511.580000,461.512052,136.799023,0.145042,0.000,50,0
400,10100.000000,373.680000,461.512052,129.924571,0.150958,0.000,50,0
410,10100.000000,370.080000,461.512052,128.667484,0.155853,0.000,50,0
420,10100.000000,358.160000,461.512052,124.508058,0.182326,0.000,50,0
430,10100.000000,335.940000,461.512052,116.721212,0.200341,0.000,50,0
440,10100.000000,311.880000,461.512052,108.339071,0.203303,0.000,50,0
450,10100.000000,304.840000,461.512052,105.837946,0.233097,0.000,50,0
460,10100.000000,278.180000,461.512052,96.535869,0.230854,0.000,50,0
470,10100.000000,271.660000,461.512052,94.280921,0.218732,0.000,50,0
480,10100.000000,282.420000,461.512052,98.014764,0.217408,0.000,50,0
490,10100.000000,258.580000,461.512052,89.698269,0.237572,0.000,50,0
500,10100.000000,244.700000,461.512052,84.859560,0.227884,0.000,50,0
